name,train_p,train_s,train_l,test_p,test_s,test_l
drjohnson_ours_2000,0,0,0,28.784648895263672,0.8895888924598694,0.2771621346473694
drjohnson_ours_10,0,0,0,28.383493423461914,0.8879312872886658,0.26899564266204834
