name,train_p,train_s,train_l,test_p,test_s,test_l
truck_ours_500,0,0,0,20.988059997558594,0.7444232106208801,0.3094499111175537
truck_ours_2000,0,0,0,20.923194885253906,0.7430611252784729,0.31541770696640015
truck_ours_2000,0,0,0,21.042673110961914,0.7506361603736877,0.30436187982559204
truck_ours_100,0,0,0,24.256587982177734,0.8482499718666077,0.18349625170230865
truck_ours_100,0,0,0,20.15558624267578,0.7348203659057617,0.31546443700790405
truck_ours_100,0,0,0,24.259145736694336,0.848235547542572,0.1837194859981537
truck_ours_100,0,0,0,24.231178283691406,0.8480997681617737,0.1837843656539917
truck_ours_100,0,0,0,20.09172821044922,0.7349494099617004,0.3154069185256958
truck_ours_5000,0,0,0,21.127113342285156,0.7491212487220764,0.30682873725891113
truck_ours_100,0,0,0,24.249120712280273,0.8482232689857483,0.18390275537967682
truck_ours_2000,0,0,0,24.289798736572266,0.8500168919563293,0.187569722533226
truck_ours_2000,0,0,0,20.661571502685547,0.7358839511871338,0.31903964281082153
