name,train_p,train_s,train_l,test_p,test_s,test_l
train_ours_2000,0,0,0,21.479976654052734,0.785428524017334,0.2408609688282013
train_ours_2000,0,0,0,21.002975463867188,0.7938964366912842,0.23119263350963593
train_ours_100,0,0,0,21.095876693725586,0.7755808234214783,0.24883992969989777
train_ours_10,0,0,0,20.1146183013916,0.7820998430252075,0.23910948634147644
train_ours_2000,0,0,0,21.461008071899414,0.7853249311447144,0.24086399376392365
