name,train_p,train_s,train_l,test_p,test_s,test_l
truck_ours_2000,0,0,0,20.924060821533203,0.7431722283363342,0.3155803680419922
truck_ours_100,0,0,0,24.24982261657715,0.8482414484024048,0.18366695940494537
truck_ours_10,0,0,0,19.412036895751953,0.7253663539886475,0.32180553674697876
truck_ours_2000,0,0,0,24.283065795898438,0.8499621152877808,0.1878642737865448
truck_ours_10,0,0,0,19.39680290222168,0.7256585359573364,0.321517676115036
